2025-06-12T00:33:33: 2025-06-12 00:33:33,061 | core.pipeline_orchestrator | INFO | Pipeline completed: fi_shortinterest_agg
2025-06-12T00:33:33: 2025-06-12 00:33:33,062 | apscheduler.executors.default | INFO | Job "_execute_scheduled_pipeline (trigger: interval[0:10:00], next run at: 2025-06-12 00:43:27 CEST)" executed successfully
2025-06-12T00:33:33: 2025-06-12 00:33:33,694 | core.pipeline_orchestrator | INFO | Pipeline completed: fi_shortinterest_pos
2025-06-12T00:33:33: 2025-06-12 00:33:33,695 | apscheduler.executors.default | INFO | Job "_execute_scheduled_pipeline (trigger: interval[0:10:00], next run at: 2025-06-12 00:43:27 CEST)" executed successfully
2025-06-12T00:43:27: 2025-06-12 00:43:27,684 | apscheduler.executors.default | INFO | Running job "_execute_scheduled_pipeline (trigger: interval[0:10:00], next run at: 2025-06-12 00:53:27 CEST)" (scheduled at 2025-06-12 00:43:27.640976+02:00)
2025-06-12T00:43:27: 2025-06-12 00:43:27,684 | core.pipeline_orchestrator | INFO | Starting pipeline: fi_shortinterest_agg
2025-06-12T00:43:27: 2025-06-12 00:43:27,699 | apscheduler.executors.default | INFO | Running job "_execute_scheduled_pipeline (trigger: interval[0:10:00], next run at: 2025-06-12 00:53:27 CEST)" (scheduled at 2025-06-12 00:43:27.679061+02:00)
2025-06-12T00:43:27: 2025-06-12 00:43:27,699 | core.pipeline_orchestrator | INFO | Starting pipeline: fi_shortinterest_pos
2025-06-12T00:43:28: 2025-06-12 00:43:28,903 | plugins.fi_shortinterest.fetcher | INFO | New timestamp detected: 2025-06-11 22:52 (previous: None)
2025-06-12T00:43:28: 2025-06-12 00:43:28,956 | plugins.fi_shortinterest.fetcher | INFO | New timestamp detected: 2025-06-11 22:52 (previous: None)
2025-06-12T00:43:29: 2025-06-12 00:43:29,927 | plugins.fi_shortinterest.fetcher | INFO | Downloaded aggregate file: 607960 bytes
2025-06-12T00:43:29: 2025-06-12 00:43:29,986 | plugins.fi_shortinterest.fetcher | INFO | Downloaded aggregate file: 607960 bytes
2025-06-12T00:43:30: 2025-06-12 00:43:30,704 | plugins.fi_shortinterest.fetcher | INFO | Downloaded positions file: 595516 bytes
2025-06-12T00:43:31: 2025-06-12 00:43:31,067 | plugins.fi_shortinterest.parser | INFO | Parsed 311 aggregate records
2025-06-12T00:43:31: 2025-06-12 00:43:31,068 | plugins.fi_shortinterest.fetcher | INFO | Downloaded positions file: 595516 bytes
2025-06-12T00:43:31: 2025-06-12 00:43:31,146 | plugins.fi_shortinterest.parser | INFO | Parsed 154 position records
2025-06-12T00:43:31: 2025-06-12 00:43:31,966 | core.pipeline_orchestrator | INFO | Pipeline completed: fi_shortinterest_pos
2025-06-12T00:43:31: 2025-06-12 00:43:31,966 | apscheduler.executors.default | INFO | Job "_execute_scheduled_pipeline (trigger: interval[0:10:00], next run at: 2025-06-12 00:53:27 CEST)" executed successfully
2025-06-12T00:43:33: 2025-06-12 00:43:33,132 | core.pipeline_orchestrator | INFO | Pipeline completed: fi_shortinterest_agg
2025-06-12T00:43:33: 2025-06-12 00:43:33,133 | apscheduler.executors.default | INFO | Job "_execute_scheduled_pipeline (trigger: interval[0:10:00], next run at: 2025-06-12 00:53:27 CEST)" executed successfully
2025-06-12T00:53:27: 2025-06-12 00:53:27,701 | apscheduler.executors.default | INFO | Running job "_execute_scheduled_pipeline (trigger: interval[0:10:00], next run at: 2025-06-12 01:03:27 CEST)" (scheduled at 2025-06-12 00:53:27.640976+02:00)
2025-06-12T00:53:27: 2025-06-12 00:53:27,701 | core.pipeline_orchestrator | INFO | Starting pipeline: fi_shortinterest_agg
2025-06-12T00:53:27: 2025-06-12 00:53:27,718 | apscheduler.executors.default | INFO | Running job "_execute_scheduled_pipeline (trigger: interval[0:10:00], next run at: 2025-06-12 01:03:27 CEST)" (scheduled at 2025-06-12 00:53:27.679061+02:00)
2025-06-12T00:53:27: 2025-06-12 00:53:27,718 | core.pipeline_orchestrator | INFO | Starting pipeline: fi_shortinterest_pos
2025-06-12T00:53:29: 2025-06-12 00:53:29,504 | plugins.fi_shortinterest.fetcher | INFO | New timestamp detected: 2025-06-11 22:52 (previous: None)
2025-06-12T00:53:29: 2025-06-12 00:53:29,556 | plugins.fi_shortinterest.fetcher | INFO | New timestamp detected: 2025-06-11 22:52 (previous: None)
2025-06-12T00:53:30: 2025-06-12 00:53:30,612 | plugins.fi_shortinterest.fetcher | INFO | Downloaded aggregate file: 607960 bytes
2025-06-12T00:53:30: 2025-06-12 00:53:30,672 | plugins.fi_shortinterest.fetcher | INFO | Downloaded aggregate file: 607960 bytes
2025-06-12T00:53:31: 2025-06-12 00:53:31,372 | plugins.fi_shortinterest.fetcher | INFO | Downloaded positions file: 595516 bytes
2025-06-12T00:53:31: 2025-06-12 00:53:31,492 | plugins.fi_shortinterest.parser | INFO | Parsed 154 position records
2025-06-12T00:53:31: 2025-06-12 00:53:31,493 | plugins.fi_shortinterest.fetcher | INFO | Downloaded positions file: 595516 bytes
2025-06-12T00:53:31: 2025-06-12 00:53:31,891 | plugins.fi_shortinterest.parser | INFO | Parsed 311 aggregate records
2025-06-12T00:53:33: 2025-06-12 00:53:33,476 | core.pipeline_orchestrator | INFO | Pipeline completed: fi_shortinterest_pos
2025-06-12T00:53:33: 2025-06-12 00:53:33,476 | apscheduler.executors.default | INFO | Job "_execute_scheduled_pipeline (trigger: interval[0:10:00], next run at: 2025-06-12 01:03:27 CEST)" executed successfully
2025-06-12T00:53:33: 2025-06-12 00:53:33,970 | core.pipeline_orchestrator | INFO | Pipeline completed: fi_shortinterest_agg
2025-06-12T00:53:33: 2025-06-12 00:53:33,970 | apscheduler.executors.default | INFO | Job "_execute_scheduled_pipeline (trigger: interval[0:10:00], next run at: 2025-06-12 01:03:27 CEST)" executed successfully
2025-06-12T01:03:27: 2025-06-12 01:03:27,687 | apscheduler.executors.default | INFO | Running job "_execute_scheduled_pipeline (trigger: interval[0:10:00], next run at: 2025-06-12 01:13:27 CEST)" (scheduled at 2025-06-12 01:03:27.640976+02:00)
2025-06-12T01:03:27: 2025-06-12 01:03:27,687 | core.pipeline_orchestrator | INFO | Starting pipeline: fi_shortinterest_agg
2025-06-12T01:03:27: 2025-06-12 01:03:27,704 | apscheduler.executors.default | INFO | Running job "_execute_scheduled_pipeline (trigger: interval[0:10:00], next run at: 2025-06-12 01:13:27 CEST)" (scheduled at 2025-06-12 01:03:27.679061+02:00)
2025-06-12T01:03:27: 2025-06-12 01:03:27,705 | core.pipeline_orchestrator | INFO | Starting pipeline: fi_shortinterest_pos
2025-06-12T01:03:28: 2025-06-12 01:03:28,939 | plugins.fi_shortinterest.fetcher | INFO | New timestamp detected: 2025-06-11 22:52 (previous: None)
2025-06-12T01:03:34: 2025-06-12 01:03:34,066 | plugins.fi_shortinterest.fetcher | INFO | New timestamp detected: 2025-06-11 22:52 (previous: None)
2025-06-12T01:03:34: 2025-06-12 01:03:34,164 | plugins.fi_shortinterest.fetcher | INFO | Downloaded aggregate file: 607960 bytes
2025-06-12T01:03:34: 2025-06-12 01:03:34,960 | plugins.fi_shortinterest.fetcher | INFO | Downloaded positions file: 595516 bytes
2025-06-12T01:03:35: 2025-06-12 01:03:35,058 | plugins.fi_shortinterest.parser | INFO | Parsed 154 position records
2025-06-12T01:03:35: 2025-06-12 01:03:35,165 | plugins.fi_shortinterest.fetcher | INFO | Downloaded aggregate file: 607960 bytes
2025-06-12T01:03:35: 2025-06-12 01:03:35,679 | core.pipeline_orchestrator | INFO | Pipeline completed: fi_shortinterest_pos
