set_name,date,volume_sold
SV: Paldea Evolved,2024-07-22,6988.58
SV: Paldea Evolved,2024-07-22,499.32
SV: Paldea Evolved,2024-07-29,3385.75
SV: Paldea Evolved,2024-07-29,210.80
SV: Paldea Evolved,2024-08-05,4239.25
SV: Paldea Evolved,2024-08-05,404.40
SV: Paldea Evolved,2024-08-12,4363.20
SV: Paldea Evolved,2024-08-12,127.28
SV: Paldea Evolved,2024-08-19,6102.00
SV: Paldea Evolved,2024-08-19,540.36
SV: Paldea Evolved,2024-08-26,4129.50
SV: Paldea Evolved,2024-08-26,377.14
SV: Paldea Evolved,2024-09-02,3258.41
SV: Paldea Evolved,2024-09-02,113.92
SV: Paldea Evolved,2024-09-09,5445.02
SV: Paldea Evolved,2024-09-09,78.54
SV: Paldea Evolved,2024-09-16,4892.76
SV: Paldea Evolved,2024-09-16,245.05
SV: Paldea Evolved,2024-09-23,7655.45
SV: Paldea Evolved,2024-09-23,197.69
SV: Paldea Evolved,2024-09-30,5840.45
SV: Paldea Evolved,2024-09-30,286.74
SV: Paldea Evolved,2024-10-07,7819.84
SV: Paldea Evolved,2024-10-07,361.00
SV: Paldea Evolved,2024-10-14,6964.88
SV: Paldea Evolved,2024-10-14,252.28
SV: Paldea Evolved,2024-10-21,7151.22
SV: Paldea Evolved,2024-10-21,172.32
SV: Paldea Evolved,2024-10-28,7024.16
SV: Paldea Evolved,2024-10-28,132.12
SV: Paldea Evolved,2024-11-04,4185.57
SV: Paldea Evolved,2024-11-04,521.97
SV: Paldea Evolved,2024-11-11,5054.35
SV: Paldea Evolved,2024-11-11,408.74
SV: Paldea Evolved,2024-11-18,10674.99
SV: Paldea Evolved,2024-11-18,1127.12
SV: Paldea Evolved,2024-11-25,62851.32
SV: Paldea Evolved,2024-11-25,1122.66
SV: Paldea Evolved,2024-12-02,18409.43
SV: Paldea Evolved,2024-12-02,1193.50
SV: Paldea Evolved,2024-12-09,13846.25
SV: Paldea Evolved,2024-12-09,1085.76
SV: Paldea Evolved,2024-12-16,11034.88
SV: Paldea Evolved,2024-12-16,496.57
SV: Paldea Evolved,2024-12-23,15596.70
SV: Paldea Evolved,2024-12-23,1269.62
SV: Paldea Evolved,2024-12-30,19431.00
SV: Paldea Evolved,2024-12-30,1993.50
SV: Paldea Evolved,2025-01-06,26244.59
SV: Paldea Evolved,2025-01-06,1885.44
SV: Paldea Evolved,2025-01-13,16015.20
SV: Paldea Evolved,2025-01-13,2525.06
SV: Paldea Evolved,2025-01-20,22285.92
